Timestamp,Hour,Date,Load_Demand_MW,Solar_GHI_Wm2,Solar_Power_MW,Wind_Speed_ms,Wind_Power_MW,Voltage_pu,Frequency_Hz,THD_percent,Power_Factor,Renewable_Penetration_%
2023-01-01 00:00:00,0,2023-01-01,6062.17,0,0.0,5.22,5.12,0.9887,59.99,3.07,0.95,0.08
2023-01-01 01:00:00,1,2023-01-01,5596.44,0,0.0,9.61,31.95,1.0393,60.029,3.27,0.95,0.57
2023-01-01 02:00:00,2,2023-01-01,5964.47,0,0.0,6.16,8.41,1.0036,60.037,3.77,0.95,0.14
2023-01-01 03:00:00,3,2023-01-01,5092.96,0,0.0,5.28,5.3,1.0118,60.085,3.08,0.95,0.1
2023-01-01 04:00:00,4,2023-01-01,5396.25,0,0.0,7.74,16.69,1.0235,60.066,3.31,0.95,0.31
2023-01-01 05:00:00,5,2023-01-01,4957.5,0,0.0,5.13,4.86,0.9619,59.983,3.67,0.95,0.1
2023-01-01 06:00:00,6,2023-01-01,4821.44,0,0.0,9.52,31.06,0.9925,60.099,3.18,0.95,0.64
2023-01-01 07:00:00,7,2023-01-01,4606.26,0,0.0,5.69,6.63,0.9799,59.98,3.21,0.95,0.14
2023-01-01 08:00:00,8,2023-01-01,4781.28,229,27.48,6.93,11.98,1.0052,60.015,3.18,0.95,0.83
2023-01-01 09:00:00,9,2023-01-01,4614.05,539,64.68,9.49,30.77,1.0098,60.162,3.62,0.949,2.07
2023-01-01 10:00:00,10,2023-01-01,4896.36,524,62.88,6.58,10.26,1.0208,60.066,3.42,0.95,1.49
2023-01-01 11:00:00,11,2023-01-01,5416.63,683,81.96,5.72,6.74,0.9836,60.008,3.17,0.95,1.64
2023-01-01 12:00:00,12,2023-01-01,5019.24,755,90.6,7.04,12.56,0.9871,60.114,4.0,0.949,2.06
2023-01-01 13:00:00,13,2023-01-01,5458.59,708,84.96,9.32,29.14,0.9857,60.078,3.42,0.949,2.09
2023-01-01 14:00:00,14,2023-01-01,5229.62,580,69.6,5.27,5.27,1.0264,60.112,3.27,0.95,1.43
2023-01-01 15:00:00,15,2023-01-01,6109.52,371,44.52,7.41,14.65,1.0124,60.05,3.7,0.95,0.97
2023-01-01 16:00:00,16,2023-01-01,5860.77,196,23.52,9.54,31.26,1.0188,60.089,3.39,0.95,0.93
2023-01-01 17:00:00,17,2023-01-01,6722.09,0,0.0,9.83,34.2,1.0152,60.012,3.96,0.95,0.51
2023-01-01 18:00:00,18,2023-01-01,6662.15,0,0.0,8.89,25.29,1.0305,60.088,3.76,0.95,0.38
2023-01-01 19:00:00,19,2023-01-01,6524.89,0,0.0,9.01,26.33,0.9802,60.047,3.28,0.95,0.4
2023-01-01 20:00:00,20,2023-01-01,6785.02,0,0.0,6.01,7.81,1.0272,60.127,3.16,0.95,0.12
2023-01-01 21:00:00,21,2023-01-01,6408.61,0,0.0,6.96,12.14,0.9945,59.969,3.93,0.95,0.19
2023-01-01 22:00:00,22,2023-01-01,6574.04,0,0.0,7.44,14.83,1.0259,59.998,3.03,0.95,0.23
2023-01-01 23:00:00,23,2023-01-01,6718.49,0,0.0,8.53,22.34,1.0232,60.02,3.81,0.95,0.33
2023-01-02 00:00:00,0,2023-01-02,7088.31,0,0.0,6.75,11.07,0.9776,59.987,3.12,0.95,0.16
2023-01-02 01:00:00,1,2023-01-02,7184.81,0,0.0,8.78,24.37,0.9783,59.864,3.78,0.95,0.34
2023-01-02 02:00:00,2,2023-01-02,6702.91,0,0.0,5.17,4.97,1.0143,59.974,3.86,0.95,0.07
2023-01-02 03:00:00,3,2023-01-02,6250.37,0,0.0,9.44,30.28,1.0146,59.995,3.91,0.95,0.48
