Timestamp,GHI,DNI,DHI,Temperature
2023-01-01 00:00:00,0,0,0,0.06881641154483908
2023-01-01 01:00:00,0,0,0,4.421562418945915
2023-01-01 02:00:00,0,0,0,11.10434557859823
2023-01-01 03:00:00,0,0,0,2.072051170924209
2023-01-01 04:00:00,0,0,0,-0.6343652683569978
2023-01-01 05:00:00,0,0,0,10.016889365716665
2023-01-01 06:00:00,0,0,0,9.490983331040674
2023-01-01 07:00:00,0,0,0,3.648918329556361
2023-01-01 08:00:00,229,183,45,9.863622890786116
2023-01-01 09:00:00,539,431,107,0.9042707730187081
2023-01-01 10:00:00,524,419,104,2.071257873235237
2023-01-01 11:00:00,683,546,136,3.0993441247243907
2023-01-01 12:00:00,755,604,151,5.003346361615726
2023-01-01 13:00:00,708,567,141,3.7536793449411174
2023-01-01 14:00:00,580,464,116,9.059454269431747
2023-01-01 15:00:00,371,296,74,2.8518853785686864
2023-01-01 16:00:00,196,156,39,-0.18502420427248545
2023-01-01 17:00:00,0,0,0,9.165573462044687
2023-01-01 18:00:00,0,0,0,-4.928235355591218
2023-01-01 19:00:00,0,0,0,3.6373905113467964
2023-01-01 20:00:00,0,0,0,-0.8959670520431375
2023-01-01 21:00:00,0,0,0,6.877518078125977
2023-01-01 22:00:00,0,0,0,5.543654988707991
2023-01-01 23:00:00,0,0,0,3.5844005290312526
2023-01-02 00:00:00,0,0,0,2.9875722941650658
2023-01-02 01:00:00,0,0,0,4.972386725774506
2023-01-02 02:00:00,0,0,0,5.290124045465775
2023-01-02 03:00:00,0,0,0,3.6210642268344184
2023-01-02 04:00:00,0,0,0,8.912200394220493
2023-01-02 05:00:00,0,0,0,3.342839641738618
2023-01-02 06:00:00,0,0,0,-0.13911838213193217
2023-01-02 07:00:00,2,2,0,7.966098787043135
2023-01-02 08:00:00,301,240,60,9.18846674837965
2023-01-02 09:00:00,363,290,72,-3.038547354043959
2023-01-02 10:00:00,792,633,158,3.135419780067147
2023-01-02 11:00:00,919,735,183,5.247924483469134
2023-01-02 12:00:00,765,612,153,6.4207898023467305
2023-01-02 13:00:00,643,514,128,4.146256704466756
2023-01-02 14:00:00,709,567,141,0.9364226617700568
2023-01-02 15:00:00,464,371,92,7.282320068704395
